##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)
124.5992432	437.6456909	0	0
124.7992401	438.2045593	0	0
124.9992371	438.7650146	0	0
125.199234	439.3270569	0	0
125.399231	439.8907166	0	0
125.5992279	440.4559937	0	0
125.7992249	441.0228882	0	0
125.9992218	441.5913696	0	0
126.1992188	442.161499	0	0
126.3992157	442.7332458	0	0
126.5992126	443.3066101	0	0
126.7992096	443.8815918	0	0
126.9992065	444.4582214	0	0
127.1992035	445.036499	0	0
127.3992004	445.616394	0	0
127.5991974	446.197937	0	0
127.7991943	446.7811584	0	0
127.9991913	447.3659973	0	0
128.1991882	447.9525146	0	0
128.3991852	448.5406494	0	0
128.5991821	449.1304932	0	0
128.7991791	449.7219849	0	0
128.999176	450.315155	0	0
129.199173	450.9099731	0	0
129.3991699	451.5065002	0	0
129.5991669	452.1047058	0	0
129.7991638	452.7045898	0	0
129.9991608	453.3061523	0	0
130.1991577	453.9094238	0	0
130.3991547	454.5143738	0	0
130.5991516	455.1210327	0	0
130.7991486	455.7294006	0	0
130.9991455	456.3394775	0	0
131.1991425	456.9512634	0	0
131.3991394	457.5647888	0	0
131.5991364	458.1800232	0	0
131.7991333	458.7969666	0	0
131.9991302	459.4156494	0	0
132.1991272	460.0360718	0	0
132.3991241	460.6582336	0	0
132.5991211	461.282135	0	0
132.799118	461.9078064	0	0
132.999115	462.5352173	0	0
133.1991119	463.1643677	0	0
133.3991089	463.7952881	0	0
133.5991058	464.427948	0	0
133.7991028	465.0624084	0	0
133.9990997	465.6986389	0	0
134.1990967	466.3366394	0	0
134.3990936	466.9764404	0	0
134.5990906	467.6180115	0	0
134.7990875	468.2613831	0	0
134.9990845	468.9065247	0	0
135.1990814	469.5534973	0	0
135.3990784	470.2022705	0	0
135.5990753	470.8528442	0	0
135.7990723	471.505249	0	0
135.9990692	472.1594543	0	0
136.1990662	472.8155212	0	0
136.3990631	473.4733887	0	0
136.5990601	474.1330872	0	0
136.799057	474.7946472	0	0
136.999054	475.4580383	0	0
137.1990509	476.1232605	0	0
137.3990479	476.7903748	0	0
137.5990448	477.4593201	0	0
137.7990417	478.1301575	0	0
137.9990387	478.8028564	0	0
138.1990356	479.477417	0	0
138.3990326	480.1538696	0	0
138.5990295	480.8322144	0	0
138.7990265	481.5124207	0	0
138.9990234	482.1945496	0	0
139.1990204	482.8786011	0	0
139.3990173	483.5645447	0	0
139.5990143	484.2523804	0	0
139.7990112	484.9421692	0	0
139.9990082	485.6338501	0	0
140.1990051	486.3274841	0	0
140.3990021	487.0230408	0	0
140.598999	487.7205505	0	0
140.798996	488.4200134	0	0
140.9989929	489.1213989	0	0
141.1989899	489.8247681	0	0
141.3989868	490.5301208	0	0
141.5989838	491.2374268	0	0
141.7989807	491.9467163	0	0
141.9989777	492.657959	0	0
142.1989746	493.3712158	0	0
142.3989716	494.0864868	0	0
142.5989685	494.8037415	0	0
142.7989655	495.5230103	0	0
142.9989624	496.2442932	0	0
143.1989594	496.9675903	0	0
143.3989563	497.6929321	0	0
143.5989532	498.4202881	0	0
143.7989502	499.1496887	0	0
143.9989471	499.8811646	0	0
144.1989441	500.6146545	0	0
144.398941	501.3502197	0	0
144.598938	502.0878601	0	0
144.7989349	502.8275757	0	0
144.9989319	503.569397	0	0
145.1989288	504.3132629	0	0
145.3989258	505.0592651	0	0
145.5989227	505.8073425	0	0
145.7989197	506.5575256	0	0
145.9989166	507.309845	0	0
146.1989136	508.06427	0	0
146.3989105	508.8208618	0	0
146.5989075	509.5795593	0	0
146.7989044	510.3404236	0	0
146.9989014	511.1034241	0	0
147.1988983	511.8686218	0	0
147.3988953	512.6359863	0	0
147.5988922	513.4054565	0	0
147.7988892	514.1771851	0	0
147.9988861	514.9511108	0	0
148.1988831	515.7271729	0	0
148.39888	516.5054932	0	0
148.598877	517.2860718	0	0
148.7988739	518.0687866	0	0
148.9988708	518.8538208	0	0
149.1988678	519.6410522	0	0
149.3988647	520.430542	0	0
149.5988617	521.22229	0	0
149.7988586	522.0162964	0	0
149.9988556	522.8126221	0	0
150.1988525	523.611145	0	0
150.3988495	524.4120483	0	0
150.5988464	525.21521	0	0
150.7988434	526.0206909	0	0
150.9988403	526.8285522	0	0
151.1988373	527.6386719	0	0
151.3988342	528.4511719	0	0
151.5988312	529.2659912	0	0
151.7988281	530.0831909	0	0
151.9988251	530.902771	0	0
152.198822	531.7247314	0	0
152.398819	532.5490112	0	0
152.5988159	533.3757935	0	0
152.7988129	534.204895	0	0
152.9988098	535.036438	0	0
153.1988068	535.8704224	0	0
153.3988037	536.7068481	0	0
153.5988007	537.5457153	0	0
153.7987976	538.387085	0	0
153.9987946	539.230896	0	0
154.1987915	540.0771484	0	0
154.3987885	540.9259033	0	0
154.5987854	541.7772217	0	0
154.7987823	542.6309814	0	0
154.9987793	543.4873047	0	0
155.1987762	544.3461304	0	0
155.3987732	545.2075195	0	0
155.5987701	546.0714722	0	0
155.7987671	546.9380493	0	0
155.998764	547.8071289	0	0
156.198761	548.678833	0	0
156.3987579	549.5531006	0	0
156.5987549	550.4300537	0	0
156.7987518	551.3095703	0	0
156.9987488	552.1917725	0	0
157.1987457	553.0765991	0	0
157.3987427	553.9641113	0	0
157.5987396	554.8543091	0	0
157.7987366	555.7471924	0	0
157.9987335	556.6428223	0	0
158.1987305	557.5410767	0	0
158.3987274	558.4421387	0	0
158.5987244	559.3458862	0	0
158.7987213	560.2524414	0	0
158.9987183	561.1617432	0	0
159.1987152	562.0738525	0	0
159.3987122	562.9887695	0	0
159.5987091	563.9064331	0	0
159.7987061	564.8270264	0	0
159.998703	565.7503662	0	0
160.1987	566.6766357	0	0
160.3986969	567.6057129	0	0
160.5986938	568.5377197	0	0
160.7986908	569.4725952	0	0
160.9986877	570.4104004	0	0
161.1986847	571.3511353	0	0
161.3986816	572.2948608	0	0
161.5986786	573.2415161	0	0
161.7986755	574.1911621	0	0
161.9986725	575.1437378	0	0
162.1986694	576.0994263	0	0
162.3986664	577.0580444	0	0
162.5986633	578.0197754	0	0
162.7986603	578.9845581	0	0
162.9986572	579.9523926	0	0
163.1986542	580.9233398	0	0
163.3986511	581.8973999	0	0
163.5986481	582.8746338	0	0
163.798645	583.8549194	0	0
163.998642	584.8384399	0	0
164.1986389	585.8251343	0	0
164.3986359	586.8150635	0	0
164.5986328	587.8081665	0	0
164.7986298	588.8045044	0	0
164.9986267	589.8041382	0	0
165.1986237	590.8070068	0	0
165.3986206	591.8132324	0	0
165.5986176	592.8227539	0	0
165.7986145	593.8355713	0	0
165.9986115	594.8518066	0	0
166.1986084	595.8713989	0	0
166.3986053	596.8943481	0	0
166.5986023	597.9207764	0	0
166.7985992	598.9506226	0	0
166.9985962	599.9839478	0	0
167.1985931	601.020752	0	0
167.3985901	602.0610352	0	0
167.598587	603.1048584	0	0
167.798584	604.1522827	0	0
167.9985809	605.2032471	0	0
168.1985779	606.2578125	0	0
168.3985748	607.315979	0	0
168.5985718	608.3778076	0	0
168.7985687	609.4432983	0	0
168.9985657	610.5125122	0	0
169.1985626	611.5854492	0	0
169.3985596	612.6621094	0	0
169.5985565	613.7425537	0	0
169.7985535	614.8267212	0	0
